0.36399996,0.3790001,0.46305043,0.33123955,PTK,348,6251,not normalized,100
0.72,0.6710001,0.85218984,0.40353557,PTK,348,6251,normalized,100
0.378,0.393,0.47804683,0.3517132,PTK,316,9080,not normalized,100
0.742,0.69100004,0.87070745,0.416273,PTK,316,9080,normalized,100
0.29600006,0.31700003,0.42662412,0.2600139,PTK,326,8241,not normalized,100
0.668,0.611,0.8040873,0.33373797,PTK,326,8241,normalized,100
0.33400002,0.36300004,0.4371695,0.3251876,PTK,290,8828,not normalized,100
0.726,0.67200005,0.8490436,0.40289322,PTK,290,8828,normalized,100
0.33200005,0.36500004,0.43839493,0.31241074,PTK,353,55,not normalized,100
0.71,0.6750001,0.8264119,0.39043128,PTK,353,55,normalized,100
0.33800003,0.36900002,0.4943895,0.32476792,PTK,301,2084,not normalized,100
0.7479999,0.701,0.8480865,0.39997143,PTK,301,2084,normalized,100
0.32800007,0.35599998,0.43161103,0.28350317,PTK,316,1375,not normalized,100
0.64599997,0.5889999,0.7877382,0.3452679,PTK,316,1375,normalized,100
0.31400004,0.338,0.40160385,0.27344012,PTK,322,2802,not normalized,100
0.74599993,0.691,0.87235695,0.3442818,PTK,322,2802,normalized,100
0.30600005,0.31400004,0.42810822,0.27050263,PTK,300,3501,not normalized,100
0.66600007,0.606,0.8442909,0.33475333,PTK,300,3501,normalized,100
0.286,0.30300003,0.41253012,0.22065,PTK,287,3389,not normalized,100
0.64199996,0.59200007,0.82162774,0.290272,PTK,287,3389,normalized,100
