Precision@5,Precision@10,MRR,MAP@100,MAP,experiment,time
0.516,0.474,0.488,0.19,0.076,rq1-pos,299
0.5,0.494,0.519,0.209,0.098,rq1-pos,605
0.48,0.457,0.507,0.148,0.073,rq1-pos,891
0.494,0.468,0.523,0.22,0.118,rq1-pos,1179
0.492,0.479,0.519,0.182,0.085,rq1-pos,1486
0.53,0.507,0.526,0.214,0.1,rq1-pos,1783
0.464,0.426,0.52,0.171,0.077,rq1-pos,2091
0.504,0.45,0.536,0.126,0.08,rq1-pos,2396
0.458,0.42,0.475,0.207,0.109,rq1-pos,2687
0.456,0.427,0.436,0.178,0.079,rq1-pos,2989
0.538,0.434,0.847,0.836,0.837,T1,96
0.52,0.418,0.829,0.827,0.828,T1,189
0.542,0.441,0.835,0.813,0.813,T1,279
0.596,0.478,0.897,0.882,0.883,T1,370
0.564,0.461,0.854,0.834,0.835,T1,462
0.58,0.481,0.863,0.835,0.835,T1,555
0.586,0.485,0.826,0.819,0.82,T1,649
0.568,0.47,0.817,0.801,0.801,T1,742
0.58,0.453,0.861,0.828,0.829,T1,835
0.636,0.526,0.851,0.838,0.84,T1,929
0.214,0.14,0.358,0.408,0.412,T2,98
0.21,0.153,0.338,0.399,0.404,T2,191
0.222,0.15,0.35,0.407,0.411,T2,284
0.246,0.157,0.37,0.426,0.429,T2,378
0.204,0.138,0.338,0.387,0.389,T2,473
0.206,0.151,0.356,0.414,0.418,T2,567
0.248,0.191,0.358,0.421,0.423,T2,660
0.198,0.119,0.318,0.366,0.369,T2,753
0.248,0.17,0.367,0.426,0.429,T2,845
0.21,0.151,0.35,0.414,0.417,T2,938
0.356,0.391,0.347,0.167,0.079,T3,346
0.326,0.325,0.314,0.116,0.063,T3,687
0.328,0.353,0.299,0.139,0.064,T3,1012
0.348,0.357,0.313,0.11,0.066,T3,1345
0.32,0.316,0.314,0.12,0.058,T3,1671
0.32,0.351,0.297,0.118,0.057,T3,2007
0.354,0.375,0.325,0.158,0.068,T3,2346
0.392,0.438,0.339,0.17,0.075,T3,2689
0.324,0.334,0.283,0.111,0.057,T3,3024
0.386,0.376,0.357,0.122,0.059,T3,3362
0.272,0.268,0.297,0.195,0.207,ST3-VST3,100
0.224,0.201,0.239,0.134,0.147,ST3-VST3,194
0.212,0.229,0.224,0.167,0.181,ST3-VST3,287
0.234,0.219,0.25,0.148,0.163,ST3-VST3,382
0.242,0.226,0.261,0.205,0.213,ST3-VST3,476
0.206,0.202,0.222,0.145,0.154,ST3-VST3,571
0.226,0.24,0.252,0.169,0.18,ST3-VST3,679
0.292,0.298,0.283,0.189,0.202,ST3-VST3,771
0.224,0.216,0.217,0.161,0.169,ST3-VST3,871
0.292,0.263,0.303,0.186,0.197,ST3-VST3,972
0.314,0.281,0.373,0.079,0.049,high_complexity_positive,276
0.332,0.295,0.402,0.091,0.039,high_complexity_positive,531
0.382,0.343,0.48,0.111,0.048,high_complexity_positive,792
0.324,0.297,0.413,0.114,0.042,high_complexity_positive,1050
0.416,0.383,0.463,0.172,0.05,high_complexity_positive,1342
0.386,0.348,0.458,0.122,0.049,high_complexity_positive,1602
0.382,0.338,0.436,0.13,0.047,high_complexity_positive,1877
0.34,0.305,0.42,0.126,0.044,high_complexity_positive,2165
0.394,0.361,0.477,0.139,0.051,high_complexity_positive,2453
0.336,0.295,0.42,0.137,0.042,high_complexity_positive,2714
0.514,0.498,0.471,0.187,0.083,low_complexity_positive,252
0.528,0.479,0.51,0.194,0.088,low_complexity_positive,505
0.464,0.469,0.49,0.217,0.101,low_complexity_positive,762
0.464,0.473,0.494,0.167,0.085,low_complexity_positive,1005
0.46,0.423,0.471,0.16,0.098,low_complexity_positive,1226
0.494,0.451,0.46,0.162,0.086,low_complexity_positive,1481
0.452,0.43,0.433,0.18,0.079,low_complexity_positive,1737
0.458,0.437,0.471,0.183,0.092,low_complexity_positive,2020
0.452,0.454,0.42,0.18,0.085,low_complexity_positive,2284
0.464,0.449,0.489,0.192,0.113,low_complexity_positive,2519
0.79,0.785,0.762,0.549,0.42,small_method_positive,233
0.792,0.802,0.721,0.588,0.452,small_method_positive,439
0.796,0.81,0.751,0.554,0.44,small_method_positive,656
0.752,0.755,0.737,0.535,0.411,small_method_positive,882
0.692,0.696,0.677,0.456,0.348,small_method_positive,1111
0.726,0.732,0.687,0.512,0.388,small_method_positive,1324
0.754,0.758,0.732,0.57,0.461,small_method_positive,1532
0.724,0.731,0.732,0.523,0.43,small_method_positive,1739
0.736,0.751,0.669,0.501,0.362,small_method_positive,1960
0.744,0.743,0.732,0.551,0.434,small_method_positive,2182
0.374,0.347,0.441,0.109,0.052,large_method_positive,257
0.452,0.405,0.459,0.119,0.057,large_method_positive,508
0.358,0.332,0.423,0.102,0.053,large_method_positive,754
0.46,0.427,0.475,0.136,0.06,large_method_positive,1009
0.418,0.379,0.41,0.129,0.053,large_method_positive,1271
0.392,0.372,0.47,0.125,0.051,large_method_positive,1546
0.382,0.351,0.412,0.112,0.048,large_method_positive,1796
0.428,0.402,0.446,0.139,0.054,large_method_positive,2079
0.478,0.458,0.505,0.167,0.06,large_method_positive,2361
0.458,0.415,0.505,0.127,0.052,large_method_positive,2615
